===================================================
FRONT SILHOUETTE PATHS (266 paths)
===================================================
ID: path1080                            | CenterX:  46.46 (range 34.2..58.8) | CenterY: 236.47 (range 178.2..294.8) | Source: original
ID: path998                             | CenterX:  42.57 (range 27.5..57.7) | CenterY: 237.26 (range 176.3..298.2) | Source: original
ID: path983                             | CenterX:  32.67 (range 19.0..46.4) | CenterY: 238.16 (range 196.0..280.3) | Source: original
ID: path1803                            | CenterX:  37.02 (range 26.4..47.6) | CenterY: 238.53 (range 186.3..290.8) | Source: original
ID: path1129                            | CenterX:  32.51 (range 18.8..46.2) | CenterY: 238.61 (range 195.8..281.4) | Source: original
ID: path987                             | CenterX:  34.32 (range 23.6..45.1) | CenterY: 238.65 (range 195.7..281.6) | Source: original
ID: path995                             | CenterX:  38.21 (range 31.7..44.7) | CenterY: 238.71 (range 198.3..279.2) | Source: original
ID: path1109                            | CenterX:  42.90 (range 26.0..59.8) | CenterY: 239.12 (range 173.3..304.9) | Source: original
ID: path991                             | CenterX:  36.04 (range 27.3..44.7) | CenterY: 239.41 (range 197.4..281.4) | Source: original
ID: path1065                            | CenterX:  39.18 (range 27.6..50.7) | CenterY: 239.68 (range 180.8..298.5) | Source: original
ID: path1186                            | CenterX:  36.46 (range 27.4..45.5) | CenterY: 239.78 (range 195.3..284.3) | Source: original
ID: path1366                            | CenterX:  53.73 (range 36.3..71.2) | CenterY: 239.95 (range 186.3..293.6) | Source: original
ID: path1257                            | CenterX:  38.02 (range 30.4..45.7) | CenterY: 240.55 (range 195.8..285.3) | Source: original
ID: path1397                            | CenterX:  62.10 (range 45.0..79.2) | CenterY: 241.34 (range 193.6..289.1) | Source: original
ID: path1554                            | CenterX:  68.77 (range 37.6..99.9) | CenterY: 241.69 (range 189.6..293.7) | Source: original
ID: path1440                            | CenterX:  65.43 (range 32.9..98.0) | CenterY: 254.61 (range 208.6..300.6) | Source: original
ID: path1585                            | CenterX:  61.98 (range 43.9..80.1) | CenterY: 259.73 (range 237.6..281.8) | Source: original
ID: path1589                            | CenterX:  66.30 (range 40.4..92.2) | CenterY: 261.40 (range 239.9..282.9) | Source: original
ID: path1674                            | CenterX:  62.36 (range 40.9..83.8) | CenterY: 261.75 (range 244.2..279.3) | Source: original
ID: path1790                            | CenterX:  61.06 (range 40.6..81.5) | CenterY: 263.27 (range 231.4..295.1) | Source: original
ID: path1828                            | CenterX:  59.29 (range 38.7..79.9) | CenterY: 265.00 (range 249.8..280.2) | Source: original
ID: path1694                            | CenterX:  59.02 (range 33.9..84.1) | CenterY: 265.32 (range 247.0..283.6) | Source: original
ID: path2377                            | CenterX:  68.44 (range 43.7..93.2) | CenterY: 265.62 (range 247.4..283.9) | Source: original
ID: path1593                            | CenterX:  66.50 (range 40.1..92.9) | CenterY: 268.71 (range 256.3..281.2) | Source: original
ID: path1848                            | CenterX:  60.78 (range 41.6..79.9) | CenterY: 269.78 (range 237.9..301.7) | Source: original
ID: path1887                            | CenterX:  62.13 (range 40.3..83.9) | CenterY: 271.55 (range 237.9..305.2) | Source: original
ID: path1734                            | CenterX:  68.14 (range 40.2..96.1) | CenterY: 272.49 (range 248.7..296.3) | Source: original
ID: path1714                            | CenterX:  63.05 (range 39.4..86.7) | CenterY: 275.34 (range 258.0..292.7) | Source: original
ID: path1901                            | CenterX:  64.09 (range 40.6..87.6) | CenterY: 286.29 (range 265.1..307.5) | Source: original
ID: path2013                            | CenterX:  66.99 (range 42.3..91.7) | CenterY: 286.92 (range 259.3..314.6) | Source: original
ID: path1963                            | CenterX:  62.98 (range 42.6..83.4) | CenterY: 287.08 (range 266.3..307.8) | Source: original
ID: path1983                            | CenterX:  62.63 (range 41.1..84.1) | CenterY: 287.37 (range 267.5..307.2) | Source: original
ID: path1893                            | CenterX:  61.11 (range 40.6..81.6) | CenterY: 289.06 (range 273.2..304.9) | Source: original
ID: path1943                            | CenterX:  61.73 (range 41.4..82.1) | CenterY: 290.06 (range 270.0..310.2) | Source: original
ID: path2033                            | CenterX:  63.44 (range 42.8..84.0) | CenterY: 293.37 (range 268.4..318.4) | Source: original
ID: path1897                            | CenterX:  61.02 (range 40.4..81.7) | CenterY: 294.55 (range 272.3..316.8) | Source: original
ID: path2043                            | CenterX:  62.20 (range 41.6..82.8) | CenterY: 295.03 (range 270.6..319.5) | Source: original
ID: path1905                            | CenterX:  61.97 (range 38.9..85.1) | CenterY: 295.87 (range 275.1..316.7) | Source: original
ID: path2063                            | CenterX:  54.68 (range 30.1..79.2) | CenterY: 302.28 (range 272.7..331.9) | Source: original
ID: path2023                            | CenterX:  61.72 (range 42.2..81.2) | CenterY: 303.49 (range 273.5..333.5) | Source: original
ID: use2203_ref_path1152                | CenterX:   7.26 (range -15.8..30.3) | CenterY: 431.55 (range 308.1..555.0) | Source: use_group
ID: use2203_ref_path1172                | CenterX:   1.54 (range -28.9..32.0) | CenterY: 432.49 (range 309.7..555.2) | Source: use_group
ID: use2203_ref_path1192                | CenterX:   3.48 (range -27.5..34.5) | CenterY: 432.50 (range 310.2..554.8) | Source: use_group
ID: use2203_ref_path1202                | CenterX:   3.26 (range -27.5..34.0) | CenterY: 432.92 (range 310.2..555.6) | Source: use_group
ID: use2203_ref_path1274                | CenterX:   8.52 (range -14.1..31.2) | CenterY: 433.25 (range 304.4..562.1) | Source: use_group
ID: use2203_ref_path1245                | CenterX:   6.23 (range -17.0..29.4) | CenterY: 433.96 (range 307.3..560.6) | Source: use_group
ID: use2203_ref_path1419                | CenterX:   5.19 (range -20.9..31.3) | CenterY: 436.53 (range 315.9..557.2) | Source: use_group
ID: use2203_ref_path1447                | CenterX:   2.71 (range -27.6..33.1) | CenterY: 437.07 (range 310.2..563.9) | Source: use_group
ID: use1324_ref_path1304                | CenterX:   6.68 (range -29.6..43.0) | CenterY: 438.57 (range 323.7..553.5) | Source: use_path
ID: use2203_ref_path1326                | CenterX:   8.26 (range -14.5..31.0) | CenterY: 438.83 (range 317.3..560.4) | Source: use_group
ID: use2203_ref_path1390                | CenterX:   4.86 (range -20.7..30.5) | CenterY: 439.49 (range 319.2..559.7) | Source: use_group
ID: use1535_ref_path1506                | CenterX:  -0.06 (range -30.3..30.2) | CenterY: 439.87 (range 325.3..554.4) | Source: use_path
ID: use2203_ref_path919                 | CenterX:   5.59 (range -20.8..31.9) | CenterY: 444.45 (range 322.8..566.1) | Source: use_group
ID: use2203_ref_path1751                | CenterX:   3.11 (range -24.6..30.8) | CenterY: 447.00 (range 332.4..561.6) | Source: use_group
ID: use2203_ref_path1231                | CenterX:  33.54 (range 6.8..60.3) | CenterY: 448.73 (range 341.2..556.2) | Source: use_group
